Zip|IncomeRange|NumberOfReturns
11417|$25,000 under $50,000|4280
11706|$100,000 under $200,000|4280
10035|$25,000 under $50,000|4270
11222|$100,000 under $200,000|4270
10016|$75,000 under $100,000|4260
11746|$50,000 under $75,000|4260
12603|$25,000 under $50,000|4260
11220|$50,000 under $75,000|4250
14701|$25,000 under $50,000|4250
13502|$25,000 under $50,000|4230
14626|$25,000 under $50,000|4230
10013|$200,000 or more|4220
11435|$50,000 under $75,000|4220
11572|$100,000 under $200,000|4220
11710|$1 under $25,000|4220
11726|$1 under $25,000|4220
14304|$25,000 under $50,000|4220
14534|$100,000 under $200,000|4210
14606|$25,000 under $50,000|4210
10075|$200,000 or more|4200
11101|$25,000 under $50,000|4200
11378|$25,000 under $50,000|4200
14075|$100,000 under $200,000|4190
10801|$25,000 under $50,000|4180
11201|$25,000 under $50,000|4180
11236|$75,000 under $100,000|4180
10701|$50,000 under $75,000|4170
11727|$1 under $25,000|4170
10025|$75,000 under $100,000|4160
10566|$1 under $25,000|4160
10573|$25,000 under $50,000|4160
11772|$100,000 under $200,000|4160
11590|$100,000 under $200,000|4150
10301|$25,000 under $50,000|4140
11223|$50,000 under $75,000|4140
14086|$100,000 under $200,000|4140
10036|$100,000 under $200,000|4130
10312|$50,000 under $75,000|4130
11566|$1 under $25,000|4130
14580|$50,000 under $75,000|4130
10010|$100,000 under $200,000|4120
10036|$1 under $25,000|4120
11201|$50,000 under $75,000|4110
11720|$1 under $25,000|4110
11358|$25,000 under $50,000|4100
11967|$1 under $25,000|4100
14127|$1 under $25,000|4100
10128|$25,000 under $50,000|4090
11103|$50,000 under $75,000|4090
11217|$1 under $25,000|4080
12901|$25,000 under $50,000|4080
10306|$50,000 under $75,000|4070
10458|$50,000 under $75,000|4070
11779|$25,000 under $50,000|4050
12866|$100,000 under $200,000|4050
11106|$50,000 under $75,000|4030
11357|$100,000 under $200,000|4030
12306|$1 under $25,000|4030
11701|$25,000 under $50,000|4020
11510|$100,000 under $200,000|4010
12205|$1 under $25,000|4010
13204|$1 under $25,000|4010
14043|$1 under $25,000|4010
11377|$100,000 under $200,000|4000
10956|$100,000 under $200,000|3990
11731|$1 under $25,000|3990
12590|$100,000 under $200,000|3990
