Batsman,Result,TeamState,n,Reviews
F du Plessis,Struck down,Bowling,17,26
F du Plessis,Umpire's call,Batting,2,18
F du Plessis,Umpire's call,Bowling,4,26
F du Plessis,Upheld,Batting,5,18
F du Plessis,Upheld,Bowling,5,26
Fakhar Zaman,Struck down,Batting,1,1
Fakhar Zaman,Struck down,Bowling,1,1
Fawad Alam,Upheld,Bowling,1,1
FDM Karunaratne,Struck down,Batting,12,20
FDM Karunaratne,Struck down,Bowling,18,18
FDM Karunaratne,Umpire's call,Batting,4,20
FDM Karunaratne,Upheld,Batting,4,20
GC Smith,Struck down,Batting,3,5
GC Smith,Struck down,Bowling,10,15
GC Smith,Umpire's call,Bowling,1,15
GC Smith,Upheld,Batting,2,5
GC Smith,Upheld,Bowling,4,15
GC Viljoen,Struck down,Batting,1,1
GC Wilson,Upheld,Bowling,1,1
GD Phillips,Struck down,Batting,1,1
GF Linde,Struck down,Bowling,1,1
GH Vihari,Struck down,Batting,2,4
GH Vihari,Struck down,Bowling,3,4
GH Vihari,Umpire's call,Bowling,1,4
GH Vihari,Upheld,Batting,2,4
GJ Bailey,Struck down,Bowling,1,2
GJ Bailey,Upheld,Bowling,1,2
GJ Batty,Struck down,Batting,2,2
GJ Maxwell,Struck down,Batting,2,2
GP Swann,Struck down,Batting,2,3
GP Swann,Struck down,Bowling,4,5
GP Swann,Upheld,Batting,1,3
GP Swann,Upheld,Bowling,1,5
GS Ballance,Struck down,Batting,1,2
GS Ballance,Struck down,Bowling,5,7
GS Ballance,Upheld,Batting,1,2
GS Ballance,Upheld,Bowling,2,7
H Hameed,Struck down,Batting,1,1
H Hameed,Struck down,Bowling,2,2
H Masakadza,Struck down,Batting,3,5
H Masakadza,Struck down,Bowling,4,6
H Masakadza,Umpire's call,Bowling,1,6
H Masakadza,Upheld,Batting,2,5
H Masakadza,Upheld,Bowling,1,6
HAPW Jayawardene,Struck down,Batting,2,4
HAPW Jayawardene,Struck down,Bowling,4,7
HAPW Jayawardene,Upheld,Batting,2,4
HAPW Jayawardene,Upheld,Bowling,3,7
Haris Sohail,Struck down,Batting,1,2
Haris Sohail,Umpire's call,Batting,1,2
Haris Sohail,Umpire's call,Bowling,1,2
Haris Sohail,Upheld,Bowling,1,2
Hasan Ali,Struck down,Bowling,1,1
Hashmatullah Shahidi,Struck down,Batting,1,2
Hashmatullah Shahidi,Upheld,Batting,1,2
HD Rutherford,Struck down,Batting,1,2
HD Rutherford,Upheld,Batting,1,2
HDRL Thirimanne,Struck down,Batting,2,7
HDRL Thirimanne,Struck down,Bowling,3,5
HDRL Thirimanne,Upheld,Batting,5,7
HDRL Thirimanne,Upheld,Bowling,2,5
HE van der Dussen,Struck down,Bowling,1,2
HE van der Dussen,Umpire's call,Batting,1,4
HE van der Dussen,Umpire's call,Bowling,1,2
HE van der Dussen,Upheld,Batting,3,4
HG Kuhn,Struck down,Bowling,3,3
HH Pandya,Struck down,Batting,1,3
HH Pandya,Struck down,Bowling,2,3
HH Pandya,Upheld,Batting,2,3
HH Pandya,Upheld,Bowling,1,3
HM Amla,Struck down,Batting,3,10
HM Amla,Struck down,Bowling,16,25
HM Amla,Umpire's call,Batting,1,10
HM Amla,Umpire's call,Bowling,3,25
HM Amla,Upheld,Batting,6,10
HM Amla,Upheld,Bowling,6,25
HM Nicholls,Struck down,Batting,4,10
HM Nicholls,Struck down,Bowling,5,8
HM Nicholls,Umpire's call,Batting,2,10
HM Nicholls,Umpire's call,Bowling,1,8
HM Nicholls,Upheld,Batting,4,10
HM Nicholls,Upheld,Bowling,2,8
HMRKB Herath,Struck down,Batting,12,20
HMRKB Herath,Struck down,Bowling,9,11
HMRKB Herath,Upheld,Batting,8,20
HMRKB Herath,Upheld,Bowling,2,11
I Sharma,Struck down,Batting,2,8
I Sharma,Struck down,Bowling,3,4
I Sharma,Umpire's call,Batting,1,8
I Sharma,Upheld,Batting,5,8
I Sharma,Upheld,Bowling,1,4
Ibrahim Zadran,Struck down,Bowling,1,1
IJL Trott,Struck down,Batting,5,5
IJL Trott,Struck down,Bowling,14,17
IJL Trott,Upheld,Bowling,3,17
Imam-ul-Haq,Struck down,Batting,1,4
Imam-ul-Haq,Struck down,Bowling,1,2
Imam-ul-Haq,Umpire's call,Batting,2,4
Imam-ul-Haq,Upheld,Batting,1,4
Imam-ul-Haq,Upheld,Bowling,1,2
Imran Farhat,Upheld,Batting,1,1
Imrul Kayes,Struck down,Batting,2,3
Imrul Kayes,Struck down,Bowling,2,2
Imrul Kayes,Upheld,Batting,1,3
IR Bell,Struck down,Batting,6,9
